,Type,Full Name,awards
0,Climb Time Trial,Federico Martín Bahamontes,2
1,Combination Classification,Greg LeMond,1
2,General Classification,Lance Armstrong,7
3,Individual Time Trial,Bernard Hinault,15
4,Mountains Classification,Richard Virenque,7
5,Points Classification,Peter Sagan,7
6,Prologue,Bernard Hinault,5
7,Sprint Classification,Sean Kelly,2
8,Stage,Mark Cavendish,30
9,Team Time Trial,Eddy Merckx,5
10,Teams classification,Steven Rooks,1
11,Track – Derny,Adolphe Braeckeveldt,1
12,Young Rider Classification,Andy Schleck,3
