,Event Year,Stage_Count
0,2019,21
24,2018,21
48,2017,21
72,2016,21
97,2015,21
122,2014,21
147,2013,21
172,2012,21
197,2011,21
222,2010,21
247,2009,21
272,2008,21
297,2007,21
321,2006,21
346,2005,21
371,2004,21
396,2003,21
421,2002,21
446,2001,21
471,2000,21
495,1999,21
519,1998,22
545,1997,22
571,1996,22
597,1995,21
622,1994,22
648,1993,21
673,1992,22
699,1991,23
726,1990,22
752,1989,23
779,1988,23
806,1987,26
836,1986,24
864,1985,25
895,1984,24
924,1983,23
952,1982,23
981,1981,25
1010,1980,25
1039,1979,25
1068,1978,25
1097,1977,28
1129,1976,27
1160,1975,25
1189,1974,27
1219,1973,27
1250,1972,25
1278,1971,25
1306,1970,29
1338,1969,26
1367,1968,26
1396,1967,25
1424,1966,25
1452,1965,24
1479,1964,25
1507,1963,23
1533,1962,24
1560,1961,22
1585,1960,22
1610,1959,22
1635,1958,24
1662,1957,24
1689,1956,23
1715,1955,23
1741,1954,25
1769,1953,22
1794,1952,23
1819,1951,24
1845,1950,22
1869,1949,21
1892,1948,21
1915,1947,21
1938,1939,28
1968,1938,29
1999,1937,31
2032,1936,27
2061,1935,27
2090,1934,24
2116,1933,23
2141,1932,21
2164,1931,24
2190,1930,21
2213,1929,22
2237,1928,22
2261,1927,24
2287,1926,17
2306,1925,18
2326,1924,15
2343,1923,15
2360,1922,15
2377,1921,15
2394,1920,15
2411,1919,15
2428,1914,15
2445,1913,15
2462,1912,15
2479,1911,15
2496,1910,15
2513,1909,14
2529,1908,14
2545,1907,14
2561,1906,13
2576,1905,11
2589,1904,6
2596,1903,6
